Group ID,Word,Synonyms
Group 16,banish,expel
Group 16,bridle,control
Group 16,comply,obey
Group 16,crestfallen,sad
Group 16,curtail,reduce
Group 16,elucidate,explain
Group 16,evade,avoid
Group 16,feckless,useless
Group 16,fester,rot
Group 16,iconoclastic,rebel
Group 16,immure,imprison
Group 16,improvise,invent
Group 16,inhibit,prevent
Group 16,inscrutable,mysterious
Group 16,lionize,admire
Group 16,monotonous,boring
Group 16,peculiar,strange
Group 16,premeditate,plan
Group 16,profligate,wasteful
Group 16,reconcile,resolve
Group 16,refine,improve
Group 16,relinquish,give up
Group 16,ruminate,ponder
Group 16,skittish,nervous
Group 16,superfluous,extra
Group 16,synoptic ,
Group 16,thorough,complete
Group 16,visionary,prophet
Group 16,vociferous,loud
Group 17,acclaim,praise
Group 17,ascertain,discover
Group 17,assertive,confident
Group 17,bogus,fake
Group 17,cataclysmic ,
Group 17,circumscribe,limit
Group 17,complementary,matching
Group 17,contentious,argumentative
Group 17,disingenuous,insincere
Group 17,divulge,reveal
Group 17,dogmatic,opinionated
Group 17,fallacious,false
Group 17,foolhardy,reckless
Group 17,hinder,obstruct
Group 17,impair,damage
Group 17,impugn,challenge
Group 17,incessant,constant
Group 17,inclined,likely
Group 17,inveterate,chronic
Group 17,miserly,stingy
Group 17,patent,obvious
Group 17,petulant,irritable
Group 17,pithy,concise
Group 17,pliant,flexible
Group 17,sanctimonious,self-righteous
Group 17,sound,solid
Group 17,tarnish,stain
Group 17,tepid,lukewarm
Group 17,upbraid,scold
Group 17,vexation,annoyance
Group 18,abet,aid
Group 18,accessible,reachable
Group 18,acquisitive,greedy
Group 18,amalgamate,combine
Group 18,attenuate,weaken
Group 18,augment,increase
Group 18,aversion,dislike
Group 18,blithe,happy
Group 18,contempt,scorn
Group 18,dawdle,delay
Group 18,deflect,divert
Group 18,discount,reduce
Group 18,dissident,rebel
Group 18,efficacious,effective
Group 18,equitable,fair
Group 18,erratic,unpredictable
Group 18,industrious,hardworking
Group 18,inform,notify
Group 18,irksome,annoying
Group 18,manacle,shackle
Group 18,modest,humble
Group 18,noxious,harmful
Group 18,pernicious,damaging
Group 18,predicament,dilemma
Group 18,proficient,skilled
Group 18,prolix,wordy
Group 18,scorn,disdain
Group 18,subordinate,inferior
Group 18,unseemly,inappropriate
Group 18,veritable,real
Group 19,acolyte,
Group 19,anoint,
Group 19,base,
Group 19,coercion ,
Group 19,coin,
Group 19,cunning,
Group 19,discomfit,
Group 19,dissent,
Group 19,distill,
Group 19,dubious,
Group 19,ebullient,
Group 19,facetious,
Group 19,fallible,
Group 19,florid,
Group 19,gawky,
Group 19,inveigle,
Group 19,jettison,
Group 19,mendacity,
Group 19,munificent,
Group 19,naive,
Group 19,noble,
Group 19,parochial,
Group 19,pedestrian,
Group 19,prevaricate,
Group 19,prime,
Group 19,radical,
Group 19,recrudescent,
Group 19,temporal,
Group 19,transitory,
Group 19,viable,
Group 20,abreast,
Group 20,confound,
Group 20,digression,
Group 20,discrepancy,
Group 20,duplicitous,
Group 20,expedient,
Group 20,fabricate,
Group 20,glum,
Group 20,harbinger,
Group 20,intrinsic,
Group 20,largesse,
Group 20,libertine,
Group 20,malfeasance,
Group 20,manifest,
Group 20,minute,
Group 20,modish,
Group 20,nascent,
Group 20,perennial,
Group 20,pious ,
Group 20,providential,
Group 20,prowess,
Group 20,schism,
Group 20,slander,
Group 20,stalwart,
Group 20,supplicate,
Group 20,terse,
Group 20,tirade,
Group 20,universal,
Group 20,vanquish,
Group 20,woeful,
Group 21,abject,
Group 21,amicable,
Group 21,animosity ,
Group 21,aver,
Group 21,barrage,
Group 21,cathartic,
Group 21,decipher,
Group 21,delusion,
Group 21,dispense,
Group 21,eloquent,
Group 21,enthrall,
Group 21,eradicate,
Group 21,fledgling,
Group 21,fortitude,
Group 21,fortuitous ,
Group 21,goad,
Group 21,imminent,
Group 21,incontrovertible,
Group 21,itinerant,
Group 21,magnanimous,
Group 21,meritorious ,
Group 21,mutiny ,
Group 21,paradoxical,
Group 21,perseverance,
Group 21,render,
Group 21,repertoire,
Group 21,resilient,
Group 21,resolute,
Group 21,supple,
Group 21,valor,
Group 22,arresting,
Group 22,chastise,
Group 22,cumbersome,bulky
Group 22,economy,
Group 22,elementary,
Group 22,embellish,
Group 22,euphoric,
Group 22,exonerate,
Group 22,extrapolate,
Group 22,falter,
Group 22,fervent,
Group 22,foment,
Group 22,gaffe,
Group 22,heterodox,
Group 22,histrionic,
Group 22,implicit,
Group 22,inviolate,
Group 22,liability,
Group 22,obstinate,
Group 22,painstaking,
Group 22,phlegmatic,
Group 22,prodigious,
Group 22,propensity,
Group 22,qualm,
Group 22,renege,
Group 22,stinting,
Group 22,temper,
Group 22,tentative,
Group 22,unprecedented,
Group 22,vivacious,
Group 23,allusive,
Group 23,astute,
Group 23,commence,
Group 23,convalescent,
Group 23,curb,
Group 23,decry,
Group 23,duress,
Group 23,evoke,
Group 23,fawn,
Group 23,fret,
Group 23,glib,
Group 23,headstrong,
Group 23,intermittent,
Group 23,ire,
Group 23,languid,
Group 23,lull,
Group 23,mettlesome,
Group 23,mollify,
Group 23,neutralize,
Group 23,nonplussed,
Group 23,precipitous,
Group 23,pretentious,
Group 23,profound,
Group 23,propagate,
Group 23,recourse,
Group 23,refute,
Group 23,regress,
Group 23,repercussion,
Group 23,replenish,
Group 23,vigilant,
Group 24,assail,
Group 24,benevolent,
Group 24,berate,
Group 24,buoyant,
Group 24,buttress,
Group 24,condone,
Group 24,contravene,
Group 24,denounce,
Group 24,despotic,
Group 24,deviate,
Group 24,disinterested,
Group 24,escalate,
Group 24,exorcise,
Group 24,finicky,
Group 24,foil,
Group 24,intertwined,
Group 24,inundate,
Group 24,ironclad,
Group 24,jeopardize,
Group 24,mercurial,
Group 24,oblivious,
Group 24,perpetrate,
Group 24,plaintive,
Group 24,poignant,
Group 24,quiescent,
Group 24,reiterate,
Group 24,subside,
Group 24,subsume,
Group 24,surmount,
Group 24,tangential,
Group 25,adept,
Group 25,adverse,
Group 25,appropriate,
Group 25,archetype,
Group 25,articulate,
Group 25,auspicious,
Group 25,bereft,
Group 25,captious,
Group 25,conclusive,
Group 25,conspire,
Group 25,delineate,
Group 25,disentangle,
Group 25,exhort,
Group 25,frailty,
Group 25,grievance,
Group 25,harangue,
Group 25,ploy,
Group 25,poise,
Group 25,pomposity,
Group 25,proxy,
Group 25,relent,
Group 25,rhetoric,
Group 25,rigor,
Group 25,sparse,
Group 25,steadfast,
Group 25,suspect,
Group 25,tedious,
Group 25,vitality,
Group 25,whimsical,
Group 25,yield,
Group 26,apprehension,
Group 26,ardent,
Group 26,axiomatic,
Group 26,cease,
Group 26,conducive,
Group 26,corporeal,
Group 26,doctrinaire,
Group 26,eclectic,
Group 26,equanimity,
Group 26,exorbitant,
Group 26,fickle,
Group 26,figurative,
Group 26,flustered,
Group 26,gullible,
Group 26,idiosyncratic,
Group 26,incidental,
Group 26,ingrained,
Group 26,insolent,
Group 26,lampoon,
Group 26,lavish,
Group 26,lugubrious,
Group 26,macabre,
Group 26,morose,
Group 26,officious,
Group 26,ramification,
Group 26,serene,
Group 26,supplant,
Group 26,tacit,
Group 26,transcend,
Group 26,treatise,
Group 27,antagonize,
Group 27,barren,
Group 27,bombastic,
Group 27,cajole,
Group 27,chary,
Group 27,curmudgeon,
Group 27,dirge,
Group 27,estimable,
Group 27,euphemism,
Group 27,excoriate,
Group 27,exigent,
Group 27,haughty,
Group 27,heady,
Group 27,imperturbable,
Group 27,implacable,
Group 27,lambaste,
Group 27,miscreant,
Group 27,peccadillo,
Group 27,philistine,
Group 27,relegate,
Group 27,repugnant,
Group 27,sentimental,
Group 27,squander,
Group 27,swindle,
Group 27,tangible,
Group 27,turpitude,
Group 27,unalloyed,
Group 27,undercut,
Group 27,wheedle,
Group 27,xenophobic,
Group 28,abeyance,
Group 28,abstract,
Group 28,affront,
Group 28,agitate,
Group 28,august,
Group 28,burnish,
Group 28,coy,
Group 28,deprecate ,
Group 28,disdain,
Group 28,disperse,
Group 28,distend,
Group 28,endemic,
Group 28,enmity,
Group 28,gauche,
Group 28,hysterical,
Group 28,impudent,
Group 28,inchoate,
Group 28,penchant,
Group 28,quandary,
Group 28,quarantine,
Group 28,quash,
Group 28,quibble,
Group 28,ravage,
Group 28,recant,
Group 28,redoubtable,
Group 28,retiring,
Group 28,shrill,
Group 28,sophistry,
Group 28,substantiate,
Group 28,wily,
Group 29,abscond,
Group 29,apogee,
Group 29,aspersion,
Group 29,bawdy,
Group 29,chagrin,
Group 29,collude,
Group 29,commiserate,
Group 29,conflagration,
Group 29,contretemps,
Group 29,conviction,
Group 29,croon,
Group 29,depose,
Group 29,detente,
Group 29,dowdy,
Group 29,echelon,
Group 29,ennui,
Group 29,expatiate,
Group 29,fraught,
Group 29,fulcrum,
Group 29,imbroglio,
Group 29,jocund,
Group 29,languish,
Group 29,nadir,
Group 29,nimble,
Group 29,ominous,
Group 29,outlandish,
Group 29,propitious,
Group 29,prurient,
Group 29,sadistic,
Group 29,zenith,
Group 30,aberrant,
Group 30,abide,
Group 30,bravado,
Group 30,callow,
Group 30,capitulate,
Group 30,cogitate,
Group 30,deportment,
Group 30,extemporize,
Group 30,factious,
Group 30,fallow,
Group 30,feint,
Group 30,flagrant,
Group 30,gratuitous,
Group 30,grovel,
Group 30,indecorous,
Group 30,intrigue,
Group 30,nominal,
Group 30,obdurate,
Group 30,obstreperous,
Group 30,odious,
Group 30,plucky,
Group 30,precocious,
Group 30,remuneration,
Group 30,slovenly,
Group 30,soliloquy,
Group 30,spurn,
Group 30,stolid,
Group 30,temerity,
Group 30,tenuous,
Group 30,verve,
Group 31,abrogate,
Group 31,aghast,
Group 31,apprise,
Group 31,beguile,
Group 31,boon,
Group 31,callous,
Group 31,coddle,
Group 31,crescendo,
Group 31,extenuating,
Group 31,frenetic,
Group 31,fringe,
Group 31,hapless,
Group 31,immaculate,
Group 31,obfuscate,
Group 31,ossify,
Group 31,pastiche,
Group 31,perspicacious,
Group 31,ponderous,
Group 31,recluse,
Group 31,retaliate,
Group 31,rhapsody,
Group 31,serendipitous,
Group 31,shirk,
Group 31,sinecure,
Group 31,sinuous,
Group 31,sordid,
Group 31,stanch,
Group 31,surfeit,
Group 31,ulterior,
Group 31,voluble,
Group 32,abstruse,
Group 32,auxiliary,
Group 32,caricature,
Group 32,depravity,
Group 32,dilettante,
Group 32,effrontery,
Group 32,encroach,
Group 32,endow,
Group 32,entreat,
Group 32,gregarious,
Group 32,indictment,
Group 32,indignant,
Group 32,ineluctable,
Group 32,inquisitive,
Group 32,latitude,
Group 32,levity,
Group 32,malevolent,
Group 32,mediate,
Group 32,occlude,
Group 32,pacify,
Group 32,paragon,
Group 32,patronize,
Group 32,penurious,
Group 32,piquant,
Group 32,rampant,
Group 32,remote,
Group 32,reprobate,
Group 32,turbid,
Group 32,turgid,
Group 32,vacuous,
